Canton,District,Population 1870,Population 1888,Population 1910
Fribourg,Broye,13706,14843,15229
Fribourg,Glane,13176,13918,14897
Fribourg,Gruyere,19337,21428,25236
Fribourg,Sarine,25544,28095,39007
Fribourg,See,14839,15215,15350
Fribourg,Veveyse,7855,7776,8846
Vaud,Avenches,5483,5327,5166
Vaud,Echallens,9857,9724,9272
Vaud,Grandson,12472,13867,12415
Vaud,Lavaux,9942,9922,10494
Vaud,Moudon,11002,11975,11921
Vaud,Oron,6739,6622,6495
Vaud,Payerne,10365,10926,12621
Vaud,Paysd'enhaut,4320,4642,5709
Vaud,Vevey,22107,27304,44579
Vaud,Yverdon,15637,16375,18379
,,,,