IF,IG,IH,IM,PROT,CATH,ISRA,GER,FR,ITA,ROM,ED1,ED2,ED3,SINGL1,SINGL2,MORT,DECM10,DECM50,DECM.1,DECIG10,DECIG.6,WL.WL65,WLEXAGR.W65,ALT.1,ALT.2,ALT.3,MAGR,MIND,WAGR,WIND,PROPWAGR,PROPWIND,PROPWOTH,PROPWTO,TAGR,TIND,ENTERPR,COTTENTERPR,AGRENTERPR,IND.ENTERPR,COMM.ENTRPR,TRANS.ENTERPR,ADM.ENTERPR,HOTEL.ENTERPR,WCOTTAGE,SEX1900,CBR,CDR,CMR,NGR,TGR,SEX1910,BORNCOM,BORNFOR,COTTIND,SIZHOLD,SIZLOT,TOTHOLD,PRFIELD,PRMEADO,PRVINE,PRMAGR,PRMIND,PRWAGR,PRWIND,PRAGRIC,PRIND,WAGRIENT,WINDENT,WLFENT,TRANSP,ADMINI,COMBINE,LABEL,Key,Canton,District1,District2,
376,716,32,503,67600,32100,200,67300,32200,400,0,33000,4000,12000,75600,16100,152,1879600,1914500,1925100,1914500,1922200,436,207,54000,46000,0,666,237,526,262,236,302,457,280,627,244,181,6,656,196,110,21,16,31,2,1017,29,19,-11,11,-1,1045,54700,1860,3,6851,454,66,326,590,15,73840,19280,74920,13290,74280,16840,40970,32040,40610,2540,3380,5910,L510,1005,Fribourg,See,,
488,1003,33,469,16300,83700,0,95400,4000,600,0,28000,7000,5000,76300,22800,157,1878200,1921400,1928100,1918000,1940000,453,225,0,100000,0,730,206,503,337,215,393,500,284,665,243,162,50,673,226,79,14,8,15,44,1044,38,20,-7,18,11,1072,55420,1260,35,10083,2841,282,211,689,1,76820,18850,79850,11920,78090,15940,42920,31390,41980,1520,3050,4570,L610,1006,Fribourg,Sense,,
430,849,17,497,700,99300,0,1800,97200,1000,0,41000,2000,15000,71900,20300,170,1888600,1922500,1935000,1923500,1940000,258,201,0,100000,0,668,238,221,440,70,298,453,186,585,275,193,65,634,247,89,17,12,21,48,1062,37,23,-8,14,5,1020,68980,2960,23,9684,2053,212,56,838,0,73440,19970,75670,14180,74370,17550,42540,33790,41810,2170,4370,6530,L710,1007,Fribourg,Veveyse,,
386,708,15,536,12800,87100,0,98600,500,900,0,34000,5000,33000,77700,15800,126,1879100,1910000,1917600,1903900,1921100,449,323,56000,44000,0,408,449,280,573,220,344,296,291,371,485,213,83,596,268,102,21,13,31,23,946,32,18,-6,14,7,987,71580,1900,33,4778,515,108,283,676,0,68030,23560,70740,17970,69340,20860,49210,41540,48240,5380,2170,7550,L111,1101,Solothrn,Balsthal-Gau,,
414,738,14,553,16300,83500,0,97800,1100,1100,0,41000,3000,40000,72500,7800,141,1879100,1914100,1921100,1904600,1921200,397,317,56000,44000,0,311,613,202,655,176,261,383,248,284,623,181,58,618,232,105,31,14,44,25,1062,36,17,-3,20,17,1058,66210,2710,38,9934,1543,155,82,729,0,36410,58500,55990,31290,42690,49770,42060,20160,32070,1530,2410,3930,L211,1102,Solothrn,Balsthal-Thl,,
351,627,35,535,97600,2100,0,98600,1100,300,0,35000,4000,30000,79400,16400,112,1880300,1907900,1917500,1905100,1913700,429,175,74000,26000,0,617,312,592,221,261,207,492,270,610,287,229,7,597,274,80,31,17,29,6,1029,26,17,-11,8,-3,1050,55010,650,5,6104,434,71,374,516,0,76240,18450,80710,8070,78190,13930,44980,25250,43570,1340,2440,3790,L311,1103,Solothrn,Bucheggberg,,
326,614,23,513,9300,90600,0,96500,1900,1500,0,33000,5000,51000,76300,13100,147,1883000,1916000,1921800,1902800,1911600,435,298,58000,42000,0,456,418,314,529,209,327,323,277,417,449,125,33,523,296,145,20,15,51,30,1020,29,19,-2,11,8,1051,69850,6230,42,4354,252,58,287,587,13,32950,61340,40710,47190,35900,55960,43120,32070,38030,3060,3710,6770,L411,1104,Solothrn,Dorneck,,
352,687,15,502,18100,81500,200,96700,400,2800,0,34000,4000,24000,78800,13000,106,1875400,1902300,1913400,1885900,1916800,497,416,92000,8000,0,276,541,162,746,216,393,191,319,240,606,270,109,576,289,93,29,13,34,66,963,31,16,0,15,15,987,61870,4720,31,5600,533,95,237,667,1,66340,24860,69720,17260,67860,21440,46220,36210,44990,8790,1890,10680,L511,1105,Solothrn,Goesgen,,
378,693,27,527,46000,53700,0,95200,900,3800,0,39000,4000,25000,67200,8300,142,1880300,1917700,1925000,1907400,1916200,443,395,74000,26000,0,218,677,107,750,177,327,373,305,184,699,258,107,630,272,72,19,7,26,30,996,37,17,-6,20,14,998,47820,5070,9,5118,573,112,349,623,0,73430,20570,68620,23230,71170,21820,45290,50000,46970,2560,2860,5420,L611,1106,Solothrn,Kriegstetten,,
335,614,23,529,38200,61100,200,90200,6800,2800,0,34000,2000,39000,68800,9100,143,1888300,1923100,1924600,1896700,1911100,867,790,83000,17000,0,214,702,88,791,170,358,415,331,172,732,185,141,584,306,79,22,9,34,78,993,34,17,5,17,22,1023,50420,4000,46,7009,784,112,229,703,0,67450,26350,66030,23290,66800,24960,45060,42540,45590,1480,2250,3730,L711,1107,Solothrn,Lebern,,
266,528,13,491,34000,65400,100,95800,1000,2900,0,49000,4000,50000,76300,11500,104,1875400,1901900,1912500,1885900,1906000,401,364,92000,8000,0,168,486,92,654,190,366,239,300,145,537,139,97,430,355,166,21,27,64,36,925,28,14,7,14,21,934,45050,6170,14,4489,610,136,245,623,1,20080,48360,29890,56190,23650,51210,46060,39990,36450,15940,3750,19690,L811,1108,Solothrn,Olten,,
192,479,10,389,42400,55900,600,92600,5500,1500,0,63000,0,78000,82300,27200,87,1888300,1906200,1907200,1896700,1904700,391,386,83000,17000,0,53,610,12,489,97,285,424,332,39,570,151,166,455,377,133,13,21,65,74,885,22,15,9,6,15,865,35300,7380,16,9836,3175,323,142,842,0,28610,65660,31010,56330,29540,62050,40640,35140,38710,4510,13330,17850,L911,1109,Solothrn,Solothurn,,
380,858,15,432,6400,93500,0,98000,1700,200,0,31000,6000,26000,81400,18400,130,1883000,1912300,1919700,1920900,1940000,843,593,58000,42000,0,539,378,296,598,192,406,352,301,466,444,112,80,74,563,291,15,57,92,69,972,30,19,-6,12,6,1016,72960,2260,62,6642,536,81,106,716,0,8320,69700,7030,56770,7960,66080,24710,24040,27980,1700,2260,3960,L1011,1110,Solothrn,Thierstein,,
188,378,30,454,63100,34000,1900,93900,2500,3000,100,45000,4000,47000,80200,19300,114,1879700,1908100,1916400,1885000,1885100,358,357,100000,0,0,18,533,4,572,86,321,293,305,14,545,9,84,23,545,338,17,77,95,15,870,25,13,7,12,19,869,40680,31340,8,14219,2236,157,391,588,1,2140,58450,1370,64470,1910,60260,21690,32260,30160,9680,8510,18200,L112,1201,B.,Stadt,Basel-Stadt,
196,480,16,388,85000,14700,0,97400,900,1400,0,45000,4000,47000,85200,27200,121,1875600,1901200,1918000,1877900,1903000,471,375,100000,0,0,284,413,205,288,304,296,503,377,254,366,94,17,500,285,153,42,21,63,4,948,21,15,12,6,17,898,38060,27290,1,5952,213,36,390,434,31,56630,30290,62780,13880,58860,24340,38640,20660,36230,4020,19510,23530,L212,1202,B.,Stadt,Basel-Land,
317,576,35,520,50800,48300,500,91600,2100,6000,0,32000,7000,39000,73700,13100,137,1878500,1906100,1920300,1886900,1908700,394,361,100000,0,0,191,567,83,702,140,317,250,273,161,604,117,46,465,326,159,25,25,72,15,1050,31,15,3,16,19,998,44910,17870,6,4688,221,47,400,482,23,41470,47330,49580,26250,44440,39610,40880,24300,36650,7430,3640,11080,L113,1301,Basellnd,Arlesheim,,
297,639,17,450,87100,12500,300,95700,1000,3200,0,40000,4000,40000,82200,23400,134,1875000,1901500,1921900,1897000,1913000,466,421,99000,1000,0,268,551,99,716,147,379,325,319,214,604,167,204,445,404,112,19,20,42,138,945,28,17,1,10,11,998,52510,7720,128,4296,377,88,236,623,16,39780,47550,29670,55990,35590,51050,34530,45430,41420,3820,4320,8140,L213,1302,Basellnd,Liestal,,
235,552,7,418,95200,4600,100,98700,800,500,0,34000,5000,26000,85900,16400,117,1876700,1907000,1918100,1899100,1906500,604,552,66000,34000,0,458,433,85,828,101,536,327,377,317,582,275,337,438,464,69,20,9,26,384,965,24,15,-8,9,2,961,61440,2460,285,4838,501,104,220,646,7,53890,36360,28440,62110,42350,48040,30460,58630,45350,2720,2060,4780,L313,1303,Basellnd,Sissach,,
257,608,7,416,96400,3600,0,97800,1700,500,0,35000,6000,24000,87800,15100,125,1878500,1909300,1918900,1889000,1910800,643,604,32000,68000,0,435,505,60,845,75,495,485,370,297,631,294,377,433,492,50,18,6,23,549,978,24,15,-8,9,1,1013,65160,1940,370,6292,1123,179,162,672,3,52320,42170,21070,68010,37960,54040,25490,57810,45930,1510,1960,3460,L413,1304,Basellnd,Waldenburg,,
310,592,23,504,95300,4700,0,99800,200,0,0,46000,5000,46000,85100,10400,141,1874800,1907300,1920100,1893200,1908800,510,107,100000,0,0,619,276,790,95,378,140,344,322,674,217,276,1,705,176,85,21,13,25,1,919,24,18,-12,6,-6,947,74460,4160,1,3653,194,53,393,443,76,76380,16510,91500,2260,83460,9830,51360,10770,46850,1820,3840,5660,L114,1401,Schfhaus,"Klettgau,Obr",,
295,519,24,548,93800,6100,0,98300,300,1400,0,54000,3000,46000,68200,9300,140,1875100,1910200,1924300,1879200,1897900,714,161,100000,0,0,637,276,774,127,470,252,449,421,695,213,303,6,708,177,79,23,14,37,6,842,25,19,-6,6,0,882,72440,5540,5,3127,233,74,352,463,147,76710,16640,90580,2660,83760,9530,54960,14160,50820,1300,3610,4900,L214,1402,Schfhaus,"Klettgau,Unt",,
314,603,22,502,84700,15100,0,90300,800,7300,0,28000,4000,24000,77600,19100,145,1877000,1916700,1923000,1888700,1911000,486,169,65000,35000,0,492,426,651,193,330,145,414,271,535,363,252,4,668,175,97,47,13,40,3,1034,22,15,-2,7,5,1174,59790,15360,2,5249,216,41,423,362,30,59180,34750,81970,8850,68350,24330,48240,14630,40220,2000,3530,5520,L314,1403,Schfhaus,Reiath,,
265,502,32,496,72000,27500,100,94000,800,4800,0,47000,3000,55000,75500,17900,130,1875500,1905100,1919400,1890700,1903100,354,297,92000,8000,0,126,680,161,488,310,202,389,260,135,630,123,16,358,332,237,31,42,85,5,971,26,15,7,11,18,978,41880,22530,2,4393,213,48,389,407,29,16490,65820,31890,40910,21220,58160,46200,21630,30750,4320,6130,10450,L414,1404,Schfhaus,Schaffhausen,,
294,565,22,501,97100,2900,0,99600,300,100,0,34000,1000,38000,78900,15900,101,1876900,1903300,1912200,1903200,1907800,529,123,56000,44000,0,642,241,767,85,364,144,376,324,682,190,310,5,700,180,87,19,13,25,4,921,24,18,-13,6,-8,970,83520,3320,2,3542,209,59,357,578,39,72840,21210,86870,6020,79660,13820,53000,21150,48600,2520,4580,7110,L514,1405,Schfhaus,Schleitheim,,
188,422,13,428,66600,33200,0,98500,500,900,0,52000,1000,62000,92400,19500,118,1875000,1902800,1916700,1882100,1891600,309,226,100000,0,0,325,487,268,411,235,239,388,271,310,467,204,28,482,299,165,26,28,63,12,848,20,18,5,3,7,868,50030,16770,7,5337,242,45,448,346,35,47750,39040,61030,17480,53070,30410,46050,23020,40050,2410,6930,9350,L614,1406,Schfhaus,Stein,,
270,534,18,488,85500,14100,200,96300,200,3400,0,38000,7000,33000,75100,13000,139,1875700,1901700,1921800,1899000,1893300,573,567,0,100000,0,220,645,11,852,28,441,376,373,142,722,267,463,235,630,111,9,15,48,322,918,27,17,-2,10,9,934,50160,6740,213,6933,3675,530,0,780,0,26800,62810,13070,73770,20450,67880,29580,50290,46280,2460,3320,5780,L115,1501,App,Ar,Hinterland,
257,517,16,481,88500,11400,0,98100,200,1500,100,39000,5000,31000,75400,15200,141,1876900,1907200,1927800,1883900,1895800,613,608,0,100000,0,221,635,7,865,21,469,365,393,137,726,315,462,221,640,111,14,13,43,354,926,26,17,-5,8,4,923,50270,4900,279,4940,2759,558,0,795,0,27500,60570,10530,74880,19580,67250,25090,51950,46650,2810,3640,6450,L215,1502,App,Ar,Mitterland,
274,555,20,474,91200,8700,0,98700,100,1000,100,32000,8000,24000,79900,11900,153,1877800,1910500,1926300,1901300,1905100,625,615,0,100000,0,191,694,15,870,48,447,391,392,122,763,343,504,232,653,88,14,12,42,490,949,27,17,-10,10,0,934,56080,3780,421,3250,1536,473,1,807,2,24390,66760,8380,75870,16890,71030,23250,50040,46850,1900,2820,4720,L315,1503,App,Ar,Vorderland,
324,749,13,423,6300,93700,0,99100,200,700,0,23000,7000,11000,77800,20400,183,1875800,1906800,1930000,1922200,1936000,760,755,0,100000,0,536,330,7,870,11,681,425,448,299,572,349,456,318,583,82,11,6,34,585,936,32,20,-4,12,8,924,70110,3100,364,7833,3141,401,0,757,0,59710,30650,7070,80740,33850,55260,10260,71780,49130,1650,4400,6050,L16,1601,App,Ir,Innerrhoden,
337,745,11,444,5100,94500,0,96500,100,3200,100,22000,12000,16000,80400,18900,109,1875300,1903800,1914400,1918200,1940000,507,438,76000,24000,0,509,357,135,662,114,474,423,327,387,457,242,219,452,405,112,22,10,48,146,923,33,18,-5,15,10,977,70380,4880,94,10606,2365,223,12,754,1,49540,40170,46460,35960,48260,38420,39900,38790,41450,4040,4170,8210,L117,1701,St,Gall,Gaster,
289,579,23,479,31900,67200,100,92700,400,6500,100,40000,5000,36000,76100,11000,162,1877000,1908100,1926800,1896600,1907800,478,470,0,100000,0,179,621,17,856,45,411,243,336,125,700,225,424,221,626,124,17,11,46,205,983,32,16,24,16,40,945,32300,13680,122,8264,2184,264,6,847,0,28600,58840,17920,68880,23960,63200,32480,47330,43420,4770,3290,8060,L217,1702,St,Gall,Gossau,
302,697,13,423,28600,71400,0,96100,200,3500,100,39000,8000,26000,83300,22200,150,1877700,1908400,1926400,1925000,1907000,589,535,95000,5000,0,395,496,92,783,129,502,425,390,277,608,286,288,450,432,93,15,9,27,270,878,28,19,-1,9,9,888,67500,7390,212,3083,322,105,84,704,14,49950,41070,32230,57670,41510,48980,37010,56120,47660,2080,3300,5380,L317,1703,St,Gall,"Rheinthal,Ob",
316,647,24,469,46000,53800,0,92400,100,7300,100,36000,9000,25000,76700,19500,163,1879900,1914900,1925700,1892200,1914400,535,489,100000,0,0,231,623,87,773,171,406,347,355,180,677,257,275,367,478,120,23,12,44,174,940,30,17,15,13,27,929,52720,15450,151,2510,262,104,59,711,41,31740,56150,28310,56970,30310,56490,38770,41880,41520,3470,3040,6510,L417,1704,St,Gall,"Rheinthal,Un",
286,570,33,472,28300,70900,100,90200,400,9000,200,42000,4000,37000,76200,14800,167,1874900,1911500,1926000,1902200,1906900,470,461,61000,39000,0,155,607,20,774,61,391,304,335,110,663,169,326,209,581,173,16,20,68,131,940,32,16,14,16,30,926,30120,23620,59,6874,1957,285,6,866,3,20360,56260,14490,65750,18010,60060,32170,43780,39990,7150,4220,11380,L517,1705,St,Gall,Rorschach,
135,367,24,324,51000,45800,2100,94000,1100,3400,300,68000,2000,82000,89300,25700,145,1876000,1905200,1921400,1890100,1860000,480,480,0,100000,0,12,621,0,721,21,429,329,393,7,660,130,311,10,677,258,12,43,81,105,785,21,15,7,6,13,803,28830,25890,44,6824,2189,321,0,948,0,1400,65230,280,78760,940,70830,12500,46060,41420,5180,7050,12230,L617,1706,St,Gall,St,Gallen
310,664,15,455,10300,89600,0,92400,200,6800,500,28000,12000,32000,80500,20100,131,1880000,1917800,1920500,1885200,1922900,489,417,33000,67000,0,420,410,146,643,143,430,374,324,331,486,190,64,581,253,115,34,16,43,35,962,29,18,0,11,11,965,68750,8340,33,16078,2199,137,11,904,2,52800,32350,45410,34910,49790,33400,37160,42590,40740,4700,3900,8600,L717,1707,St,Gall,Sargans,
269,597,9,442,17000,82800,100,96300,300,3100,100,35000,10000,30000,79000,20600,135,1875700,1907000,1922500,1913700,1909400,467,409,74000,26000,0,353,460,125,644,143,399,369,321,280,519,185,111,457,355,143,26,19,55,54,914,25,18,1,7,7,952,50290,6910,32,6916,2068,299,16,721,6,44440,39710,39950,42760,42630,40930,37660,41980,40190,6170,4920,11090,L817,1708,St,Gall,Seebezirk,
289,574,32,474,28700,70200,100,81000,300,18300,200,35000,5000,35000,71700,17100,180,1875500,1905900,1930000,1906600,1906100,518,510,7000,93000,0,136,672,15,849,59,413,281,357,93,735,172,372,215,600,157,18,10,65,118,944,34,18,32,16,48,933,25930,27470,60,8069,2161,268,19,868,0,26650,61860,15490,71500,21380,66410,34160,50790,47170,3590,3850,7440,L917,1709,St,Gall,Tablat,
329,774,2,424,14900,85000,0,98600,0,1300,0,32000,7000,21000,86900,19300,137,1875500,1906700,1925700,1930000,1940000,512,483,0,100000,0,395,536,56,842,65,434,421,328,284,637,280,346,424,483,74,14,5,31,339,993,29,18,-3,11,8,995,60870,2960,293,6913,1911,276,18,758,0,46580,47280,29390,61810,38880,53800,33880,51500,44820,1600,2090,3700,L1017,1710,St,Gall,"Toggnbrg,Alt",
319,609,24,505,66900,32800,0,92700,100,7000,100,33000,5000,30000,74500,13300,158,1874700,1910300,1924500,1919800,1860000,570,530,0,100000,0,304,553,70,754,109,420,396,347,223,623,257,290,342,488,140,17,12,56,206,956,29,19,-2,10,8,990,42500,8900,170,9279,4444,479,2,727,0,31030,59120,26520,58800,29210,58990,36740,40330,40460,3420,3270,6690,L1117,1711,St,Gall,"Toggnbrg,Neu",
289,564,14,500,69400,30500,0,94600,200,5000,0,29000,7000,21000,70600,17700,122,1875000,1905000,1921000,1886800,1885700,585,551,0,90000,10000,390,521,58,811,73,451,436,345,275,621,288,325,421,484,77,13,6,28,292,933,24,17,-4,7,3,993,58210,6120,260,10256,3184,310,0,826,0,48270,45880,36050,52840,42760,49010,38000,48590,45070,2490,2790,5270,L1217,1712,St,Gall,"Toggnbrg,Obr",
291,568,17,497,55200,44500,0,96700,200,3000,0,44000,4000,33000,79000,12700,148,1875700,1909400,1924300,1886400,1877800,524,508,0,100000,0,197,704,30,827,74,381,430,344,139,746,237,372,275,577,118,16,13,45,216,955,28,16,3,12,16,965,39460,6660,184,6615,1516,229,18,751,1,23860,68740,17970,70010,21300,69290,36570,43810,43360,1810,2910,4720,L1317,1713,St,Gall,"Toggnbrg,Unt",
278,575,11,473,84400,15500,100,98300,100,1200,200,34000,5000,28000,76600,18100,109,1893700,1922800,1913600,1904200,1905800,523,421,82000,18000,0,412,454,196,693,191,431,291,332,340,533,212,304,450,446,75,19,10,20,207,1011,26,15,-5,11,6,988,77360,3100,263,6777,664,98,41,791,3,46250,40040,45520,44880,45940,42090,41900,45090,42290,4070,2870,6940,L1417,1714,St,Gall,Werdenberg,
264,648,8,400,19100,80600,100,96600,300,2800,0,42000,5000,28000,86100,25500,127,1882100,1912100,1919300,1914500,1918200,426,401,10000,90000,0,326,504,59,688,74,377,398,307,244,560,209,192,404,403,160,14,19,65,106,981,25,20,15,5,20,968,37550,8210,120,7329,1003,137,36,813,3,42890,43860,39020,44780,41290,44240,39190,41960,41460,2890,6720,9610,L1517,1715,St,Gall,Wilter,
327,741,14,430,20300,79700,0,21600,200,4100,74100,23000,20000,18000,81100,17500,127,1878000,1921000,1922900,1883900,1935000,653,216,0,5000,95000,664,139,669,144,379,385,367,378,666,141,218,1,694,143,105,45,12,57,0,1254,25,20,-25,4,-20,975,68490,4710,0,27768,1283,46,10,986,0,65750,16090,77940,2060,70290,10860,41330,7070,37270,5740,2970,8720,L118,1801,Grisons,Albula,,
346,784,11,433,16400,83400,0,3400,600,94800,1100,39000,6000,34000,75500,20700,145,1904600,1940000,1930100,1917800,1940000,609,176,0,28000,72000,549,234,711,133,441,258,304,379,611,196,229,0,677,149,118,40,15,75,0,874,28,18,5,10,15,942,76820,15690,0,10433,1014,97,24,952,4,51780,39700,79930,5760,61390,28110,44470,7000,34150,5080,4370,9450,L218,1802,Grisons,Bernina,,
335,812,13,402,28400,71600,0,27700,200,1600,70400,22000,8000,24000,84400,19500,125,1890600,1923300,1920400,1925200,1940000,684,211,0,37000,63000,692,180,692,139,392,332,459,392,692,164,233,5,728,129,96,36,11,47,4,972,27,21,-1,6,5,990,74540,3110,4,23388,980,42,22,961,0,77290,14950,84030,3880,80170,10220,44770,16190,42710,2350,3620,5970,L318,1803,Grisons,Glenner,,
294,607,13,474,68700,31300,0,64000,300,4800,30900,43000,5000,42000,75700,24000,114,1882700,1920200,1916400,1891400,1911400,543,214,0,69000,31000,563,253,606,180,345,258,362,328,577,229,201,3,692,146,103,46,13,56,2,1067,24,18,-6,5,-1,1038,59830,5980,0,14290,776,54,23,939,0,70710,16940,77480,5860,73340,12650,40940,17960,38750,3500,3910,7410,L418,1804,Grisons,Heizenberg,,
244,565,12,419,89100,10900,0,51100,0,5500,43400,37000,0,34000,80600,20300,112,1897900,1935000,1918600,1901800,1894100,615,204,0,32000,68000,705,147,669,144,372,379,440,384,691,146,280,1,696,126,97,66,14,54,1,905,21,18,-4,3,-1,923,67830,5120,1,34065,1634,48,6,985,0,80970,9150,78020,2990,79820,6760,38000,17220,38880,4520,3790,8320,L518,1805,Grisons,Hinterrheim,,
326,724,16,438,45400,54500,0,39200,100,1900,58800,32000,8000,41000,87000,15900,161,1909900,1923400,1921400,1883000,1923100,541,260,0,85000,15000,459,319,519,251,365,286,346,337,479,296,196,5,703,144,115,24,14,54,4,1049,28,19,-9,9,0,1001,72070,3480,4,14061,658,47,35,961,0,60350,26600,72230,3410,65300,16940,46070,8380,41650,11160,6320,17490,L618,1806,Grisons,Imboden,,
280,541,15,504,62900,37000,0,13700,200,20700,65000,40000,7000,47000,70400,14700,140,1885700,1924200,1922900,1906400,1905600,538,176,0,0,100000,387,455,673,129,398,97,323,275,466,365,280,1,640,158,122,52,28,69,0,914,23,18,17,5,22,1218,56550,24430,1,15841,449,28,31,929,0,58730,19870,65850,4120,61760,13180,45310,13280,42490,6310,6260,12570,L718,1807,Grisons,Inn,,
161,478,13,318,73700,24700,900,85200,1400,5700,3000,40000,7000,37000,88500,22000,126,1908600,1930000,1920000,1893700,1890600,541,392,0,36000,64000,323,336,276,192,337,254,481,373,305,283,164,1,524,171,232,35,38,138,0,977,21,14,6,8,14,966,42600,28360,3,21006,3023,144,5,908,0,41490,37220,49510,8300,44420,26640,40770,11400,36580,18970,44530,63500,L818,1808,Grisons,"Landquart,Ob",,
296,598,20,478,73200,26700,0,92100,400,5800,1600,31000,11000,33000,79400,19000,146,1902700,1926700,1922300,1916100,1909700,597,202,0,97000,3000,548,245,662,178,382,271,285,339,587,222,203,7,705,160,97,28,11,47,4,1041,24,17,3,7,10,1093,63950,6860,8,10628,642,60,32,932,11,65460,22620,79410,8460,71110,16890,45200,20280,40480,14200,5560,19770,L918,1809,Grisons,"Landquart,Un",,
207,571,7,356,61000,38300,200,26700,900,38800,31800,59000,2000,62000,83800,24700,128,1901500,1935000,1924700,1912400,1897600,491,373,0,9000,91000,176,373,241,221,362,198,332,294,195,329,307,0,346,222,265,133,34,126,0,1019,22,15,28,8,35,1122,31970,32240,0,51362,1231,24,1,998,0,27780,35930,27660,11330,27740,27980,32230,13090,32320,62650,30120,92760,L1018,1810,Grisons,Maloja,,
314,692,24,434,800,98600,0,1500,500,97700,300,27000,7000,30000,76500,28700,167,1884300,1925900,1927900,1915400,1922800,734,133,47000,42000,11000,513,300,819,74,579,175,331,463,655,195,254,0,696,118,136,37,12,83,0,788,26,22,-1,4,3,850,74920,11830,0,8405,132,16,17,943,9,58420,31260,82430,3650,69460,18560,54570,9030,45980,6680,5550,12230,L1118,1811,Grisons,Moesa,,
317,709,10,440,43800,56200,0,16000,400,4400,79200,17000,14000,15000,83100,13000,169,1874700,1930000,1930000,1897000,1895500,693,180,0,0,100000,673,196,740,66,437,193,511,414,701,142,321,0,669,203,85,29,14,52,0,905,28,20,-3,8,5,887,68920,11750,2,10936,496,45,58,913,0,73490,16010,82820,3520,77730,10340,48370,15450,45390,2730,9040,11770,L1218,1812,Grisons,Muensterthal,,
225,530,13,410,65700,33900,100,81700,700,7000,9900,43000,7000,59000,82800,23300,126,1881600,1919500,1919500,1904500,1881800,380,312,0,76000,24000,183,432,179,298,285,219,356,290,182,393,131,7,367,318,218,48,48,109,2,981,24,15,14,9,23,992,39380,14000,22,23541,1966,83,14,974,2,25420,43290,35500,19100,28390,36150,36900,15590,29520,62410,56680,119090,L1318,1813,Grisons,Plessur,,
404,868,8,460,700,99300,0,3700,200,4300,91700,21000,6000,26000,81700,20000,146,1877100,1927100,1925900,1937000,1946000,593,191,0,17000,83000,624,250,678,157,346,234,389,327,642,220,236,0,698,165,89,34,14,38,0,1024,31,20,3,11,14,1050,78730,4790,0,14972,694,46,26,900,0,71770,19090,82190,4770,76250,12930,46370,15890,43020,3870,6040,9910,L1418,1814,Grisons,Vorderrhein,,
258,571,14,438,86400,12900,100,95200,1100,3500,0,42000,5000,35000,81500,12400,115,1875700,1911100,1914800,1893800,1907800,407,356,100000,0,0,180,608,126,635,229,307,324,298,164,616,148,65,487,317,143,26,27,48,22,908,27,15,4,11,16,959,54040,7310,77,3063,282,92,272,619,18,33020,49700,42410,41430,36570,46580,43810,33590,37770,29520,39770,69290,L119,1901,Argovie,Aarau,,
341,624,24,529,30700,67500,1000,93300,1000,5300,0,34000,5000,28000,74500,14700,137,1874900,1901900,1921000,1884500,1912300,449,338,94000,6000,0,226,649,247,515,307,243,434,288,232,610,162,89,502,313,144,20,21,63,35,1017,33,17,9,16,25,1031,45720,11120,46,4204,268,64,282,565,39,30970,59170,48520,32960,37030,50120,45240,22700,34520,11940,13260,25200,L219,1902,Argovie,Baden,,
284,642,9,434,9500,90000,300,98700,500,700,0,30000,8000,26000,83400,22400,125,1874300,1897500,1919600,1882800,1916200,528,444,89000,11000,0,409,477,159,687,179,447,429,359,319,552,242,258,418,449,104,15,15,30,188,881,27,20,1,8,9,928,62390,2900,239,4269,366,86,243,635,7,53700,37470,42320,46740,48340,41840,41260,52650,47120,7060,11480,18540,L319,1903,Argovie,Bremgarten,,
304,576,10,519,88800,10900,200,96700,800,2400,0,44000,4000,25000,76600,17400,119,1876200,1911400,1915800,1885100,1907800,499,245,97000,3000,0,414,419,508,330,372,275,318,325,445,390,223,105,595,279,85,21,19,34,47,985,26,18,4,7,11,1004,55580,4560,36,3589,182,51,262,532,72,53760,31070,64460,23820,58380,27940,47690,36820,43190,13050,9920,22970,L419,1904,Argovie,Brugg,,
